127.0.0.1 - - [14/Oct/2022:13:53:05 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:13:43 +0900] "POST /practice01/loginPro.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:13:44 +0900] "POST /practice01/loginPro.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:16:42 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:16:43 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:16:51 +0900] "POST /practice01/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:16:51 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:19:41 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:19:48 +0900] "POST /practice01/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:19:48 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:19:56 +0900] "POST /practice01/loginPro.jsp HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:20:01 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:20:14 +0900] "POST /practice01/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:20:14 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:24:27 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:45:41 +0900] "GET /practice01/login.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:45:50 +0900] "POST /practice01/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:45:50 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:45:57 +0900] "GET /practice01/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:45:57 +0900] "GET /practice01/index.jsp HTTP/1.1" 200 1058
